Symptom,Hypertension,Coronary artery disease,Heart attack (Myocardial infarction),Heart failure,Arrhythmia,Peripheral artery disease,Stroke,Atherosclerosis,Atrial fibrillation,Deep vein thrombosis (DVT),Asthma,Chronic obstructive pulmonary disease (COPD),Pneumonia,Bronchitis,Tuberculosis,Pulmonary embolism,Lung cancer,Cystic fibrosis,Sleep apnea,Influenza (Flu),Alzheimer’s disease,Parkinson’s disease,Epilepsy,Migraine,Multiple sclerosis (MS),Amyotrophic lateral sclerosis (ALS),Dementia,Peripheral neuropathy,Bell’s palsy,Stroke (neurological),Diabetes mellitus (Type 1 & Type 2),Hypothyroidism,Hyperthyroidism,Cushing’s syndrome,Addison’s disease,Polycystic ovary syndrome (PCOS),Metabolic syndrome,Obesity,Gout,Hypoglycemia,Common cold,COVID-19,"Hepatitis A, B, or C",HIV/AIDS,Malaria,Lyme disease,Chickenpox (Varicella),Measles,Mumps,Rubella,Rheumatoid arthritis,Lupus (Systemic lupus erythematosus),Psoriasis,Celiac disease,Crohn’s disease,Ulcerative colitis,Ankylosing spondylitis,Graves’ disease,Sjögren’s syndrome,Scleroderma,Gastroesophageal reflux disease (GERD),Peptic ulcer disease,Irritable bowel syndrome (IBS),Gallstones,Pancreatitis,Liver cirrhosis,Hepatitis,Constipation,Hemorrhoids,Gastritis,Osteoarthritis,Osteoporosis,Fibromyalgia,Back pain,Scoliosis,Tendonitis,Carpal tunnel syndrome,Bursitis,Gout (musculoskeletal),Fractures,Cataracts,Glaucoma,Macular degeneration,Conjunctivitis (Pink eye),Tinnitus,Hearing loss,Meniere’s disease,Dry eye syndrome,Retinal detachment,Ear infection (Otitis media),Acne,Eczema (Atopic dermatitis),Psoriasis (skin),Rosacea,"Skin cancer (Melanoma, BCC, SCC)",Warts,Fungal infections,Hives (Urticaria),Shingles (Herpes zoster),Vitiligo
Fever,0.011,0.075,0.071,0.058,0.034,0.068,0.02,0.049,0.051,0.096,0.089,0.034,0.7,0.25,0.5,0.088,0.037,0.068,0.065,0.85,0.079,0.059,0.08,0.058,0.01,0.039,0.012,0.094,0.089,0.085,0.038,0.015,0.089,0.095,0.018,0.054,0.016,0.078,0.079,0.022,0.053,0.6,0.034,0.3,0.9,0.4,0.7,0.95,0.6,0.5,0.1,0.068,0.049,0.057,0.3,0.03,0.04,0.063,0.031,0.03,0.016,0.067,0.031,0.091,0.2,0.016,0.031,0.07,0.029,0.022,0.094,0.061,0.053,0.081,0.083,0.027,0.019,0.049,0.048,0.052,0.076,0.071,0.099,0.019,0.046,0.041,0.088,0.032,0.027,0.4,0.048,0.035,0.032,0.093,0.05,0.088,0.06,0.015,0.1,0.085
Fatigue,0.25,0.3,0.086,0.6,0.054,0.029,0.046,0.2,0.4,0.099,0.034,0.3,0.4,0.048,0.5,0.1,0.06,0.075,0.024,0.7,0.097,0.062,0.059,0.077,0.5,0.063,0.055,0.087,0.024,0.096,0.3,0.6,0.064,0.4,0.7,0.021,0.4,0.4,0.064,0.4,0.048,0.5,0.6,0.5,0.028,0.4,0.4,0.046,0.07,0.037,0.4,0.5,0.017,0.051,0.1,0.1,0.017,0.029,0.4,0.094,0.089,0.089,0.043,0.024,0.085,0.6,0.61,0.099,0.069,0.011,0.084,0.037,0.8,0.095,0.022,0.02,0.02,0.06,0.035,0.064,0.075,0.028,0.067,0.034,0.054,0.091,0.086,0.018,0.048,0.035,0.01,0.079,0.067,0.034,0.077,0.06,0.048,0.011,0.017,0.089
Headache,0.15,0.059,0.085,0.062,0.023,0.021,0.3,0.091,0.082,0.087,0.091,0.029,0.032,0.019,0.08,0.09,0.047,0.066,0.024,0.6,0.088,0.3,0.083,1,0.012,0.076,0.3,0.094,0.082,0.33,0.083,0.034,0.081,0.02,0.088,0.087,0.03,0.083,0.051,0.037,0.082,0.03,0.012,0.027,0.6,0.3,0.097,0.035,0.068,0.046,0.098,0.058,0.095,0.02,0.097,0.026,0.097,0.034,0.02,0.049,0.076,0.038,0.065,0.056,0.045,0.062,0.033,0.074,0.01,0.093,0.058,0.075,0.077,0.07,0.043,0.016,0.07,0.04,0.038,0.086,0.075,0.037,0.038,0.047,0.046,0.037,0.021,0.048,0.095,0.071,0.091,0.065,0.037,0.059,0.01,0.036,0.049,0.062,0.069,0.052
Cough,0.05,0.029,0.053,0.2,0.082,0.025,0.018,0.056,0.067,0.04,0.6,0.8,0.8,0.85,0.8,0.012,0.6,0.053,0.086,0.7,0.047,0.067,0.027,0.073,0.054,0.032,0.069,0.01,0.078,0.079,0.02,0.048,0.026,0.096,0.057,0.015,0.032,0.086,0.051,0.082,0.5,0.6,0.064,0.096,0.09,0.065,0.075,0.7,0.085,0.059,0.091,0.077,0.053,0.033,0.032,0.067,0.079,0.057,0.066,0.035,0.017,0.036,0.034,0.039,0.059,0.022,0.031,0.072,0.074,0.016,0.047,0.059,0.047,0.029,0.048,0.091,0.063,0.073,0.087,0.079,0.044,0.011,0.042,0.078,0.087,0.096,0.048,0.077,0.059,0.064,0.03,0.03,0.049,0.013,0.04,0.071,0.046,0.025,0.052,0.021
Sore throat,0.066,0.012,0.045,0.061,0.012,0.068,0.022,0.052,0.015,0.044,0.029,0.039,0.079,0.044,0.078,0.085,0.033,0.017,0.012,0.4,0.1,0.041,0.069,0.08,0.069,0.078,0.095,0.028,0.012,0.024,0.021,0.07,0.061,0.03,0.073,0.079,0.025,0.065,0.077,0.02,0.6,0.3,0.02,0.012,0.038,0.071,0.096,0.046,0.074,0.017,0.072,0.066,0.019,0.08,0.087,0.064,0.021,0.099,0.08,0.041,0.049,0.043,0.056,0.041,0.086,0.084,0.019,0.096,0.067,0.085,0.074,0.049,0.076,0.097,0.034,0.083,0.058,0.054,0.049,0.076,0.034,0.087,0.085,0.018,0.089,0.032,0.052,0.065,0.044,0.013,0.087,0.026,0.029,0.082,0.041,0.089,0.073,0.035,0.011,0.095
Shortness of breath,0.3,0.4,0.6,0.75,0.2,0.068,0.054,0.081,0.3,0.03,0.7,0.7,0.6,0.053,0.058,0.8,0.077,0.04,0.073,0.034,0.033,0.021,0.027,0.021,0.058,0.079,0.027,0.029,0.054,0.075,0.098,0.057,0.035,0.019,0.027,0.03,0.026,0.011,0.058,0.035,0.098,0.2,0.073,0.021,0.088,0.054,0.089,0.062,0.052,0.05,0.027,0.015,0.095,0.053,0.084,0.046,0.017,0.067,0.015,0.023,0.061,0.037,0.099,0.021,0.079,0.065,0.081,0.03,0.057,0.051,0.05,0.087,0.099,0.037,0.066,0.065,0.077,0.095,0.029,0.029,0.069,0.024,0.026,0.017,0.01,0.051,0.063,0.036,0.031,0.074,0.073,0.051,0.072,0.093,0.081,0.066,0.07,0.094,0.048,0.059
Nausea,0.068,0.092,0.25,0.016,0.025,0.038,0.077,0.061,0.036,0.021,0.072,0.073,0.095,0.055,0.054,0.017,0.014,0.049,0.039,0.033,0.018,0.097,0.085,0.6,0.096,0.1,0.071,0.034,0.014,0.078,0.052,0.069,0.092,0.026,0.063,0.067,0.054,0.018,0.041,0.04,0.07,0.087,0.4,0.072,0.4,0.095,0.083,0.06,0.051,0.038,0.039,0.097,0.046,0.056,0.099,0.069,0.059,0.047,0.027,0.043,0.4,0.4,0.078,0.4,0.7,0.093,0.049,0.073,0.021,0.4,0.065,0.032,0.024,0.06,0.06,0.018,0.099,0.092,0.052,0.021,0.085,0.055,0.074,0.056,0.035,0.085,0.098,0.032,0.06,0.045,0.093,0.056,0.089,0.088,0.035,0.081,0.047,0.094,0.056,0.084
Vomiting,0.035,0.037,0.1,0.1,0.054,0.023,0.058,0.041,0.06,0.059,0.051,0.039,0.027,0.073,0.061,0.031,0.08,0.014,0.077,0.073,0.083,0.045,0.07,0.084,0.098,0.055,0.013,0.055,0.063,0.088,0.089,0.05,0.057,0.051,0.075,0.047,0.069,0.024,0.052,0.097,0.04,0.072,0.068,0.087,0.087,0.087,0.044,0.038,0.075,0.078,0.089,0.013,0.016,0.067,0.093,0.1,0.077,0.049,0.019,0.067,0.089,0.2,0.072,0.2,0.6,0.082,0.036,0.044,0.023,0.058,0.061,0.081,0.025,0.017,0.088,0.066,0.032,0.092,0.023,0.052,0.033,0.033,0.011,0.082,0.091,0.071,0.024,0.05,0.041,0.063,0.068,0.048,0.033,0.086,0.028,0.045,0.053,0.031,0.061,0.062
Diarrhea,0.099,0.037,0.098,0.069,0.035,0.061,0.072,0.077,0.014,0.065,0.055,0.091,0.036,0.082,0.065,0.042,0.067,0.066,0.071,0.075,0.069,0.085,0.067,0.091,0.068,0.038,0.05,0.062,0.076,0.018,0.037,0.077,0.026,0.022,0.059,0.097,0.058,0.092,0.085,0.033,0.084,0.053,0.25,0.077,0.04,0.02,0.097,0.023,0.097,0.087,0.075,0.098,0.097,0.6,0.6,0.8,0.011,0.058,0.051,0.071,0.25,0.063,0.4,0.095,0.02,0.031,0.012,0.09,0.061,0.092,0.03,0.016,0.084,0.092,0.037,0.047,0.023,0.095,0.037,0.054,0.019,0.09,0.022,0.051,0.07,0.077,0.095,0.048,0.077,0.024,0.047,0.019,0.054,0.047,0.096,0.013,0.043,0.05,0.096,0.087
Abdominal pain,0.4,0.072,0.059,0.098,0.042,0.046,0.027,0.021,0.086,0.051,0.07,0.068,0.064,0.012,0.081,0.032,0.021,0.061,0.016,0.079,0.029,0.029,0.088,0.04,0.023,0.091,0.01,0.087,0.023,0.022,0.033,0.026,0.069,0.012,0.011,0.081,0.031,0.039,0.6,0.015,0.077,0.057,0.6,0.053,0.08,0.056,0.02,0.055,0.095,0.014,0.08,0.4,0.057,0.051,0.7,0.5,0.053,0.046,0.072,0.054,0.6,0.7,0.8,0.7,0.3,0.3,0.067,0.4,0.5,0.6,0.058,0.6,0.9,0.3,0.5,0.8,0.069,0.6,0.62,0.6,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.024,0.093,0.016,0.085,0.018,0.019,0.076,0.083,0.06,0.8,0.061
